campaign_id,campaign_name,campaign_type,status,start_date,end_date,budget,actual_spend,target_region_id,target_segment,impressions,clicks,conversions
1,VIP Launch 2025,Email,Planned,2025-10-06,2025-11-03,115535.38,118737.23,3,Silver,785329,56399,1394
2,Summer Launch 2022,Radio,Planned,2025-02-06,2025-02-26,32585.09,17906.67,7,Silver,1613393,46665,1616
3,Holiday Event 2024,TV,Active,2024-06-21,2024-07-03,41754.54,25757.67,5,Gold,1048695,68335,4545
4,VIP Event 2023,Affiliate,Completed,2025-09-18,2025-09-28,99211.11,86046.04,4,Silver,1945883,74861,1556
5,Summer Discount 2022,Banner Ad,Planned,2025-03-30,2025-05-12,73578.97,63286.34,5,Platinum,873737,28122,716
6,Fall Launch 2024,Email,Paused,2024-02-01,2024-02-16,86094.23,93172.38,5,Silver,949038,74638,2438
7,Fall Deal 2023,Email,Completed,2025-02-15,2025-05-08,85734.36,85702.69,3,Bronze,1468456,42082,372
8,Fall Discount 2022,TV,Completed,2025-06-22,2025-07-22,38690.51,38235.01,1,Bronze,125535,23810,2904
9,VIP Event 2023,Social Media,Paused,2026-05-20,2026-05-31,122069.17,41747.6,1,Silver,674639,28226,2520
10,Winter Sale 2024,Affiliate,Active,2023-12-11,2024-02-22,48531.86,38424.4,9,Gold,1755485,25260,1171
11,Flash Deal 2022,Email,Paused,2023-12-04,2024-03-03,42089.86,34764.45,3,Platinum,1422040,25189,3749
12,Holiday Event 2025,Influencer,Paused,2025-08-04,2025-10-08,67165.46,66145.17,8,Platinum,548395,76867,3301
13,Summer Promo 2024,Influencer,Cancelled,2023-09-05,2023-11-21,3995.93,2144.05,7,Gold,1291315,12813,1813
14,Fall Sale 2025,Banner Ad,Planned,2023-12-10,2024-02-22,134253.36,117664.26,2,Platinum,752118,7215,3409
15,VIP Discount 2025,Social Media,Completed,2024-03-14,2024-05-25,144514.84,89780.14,5,Gold,642522,78647,4697
16,Spring Sale 2022,Banner Ad,Paused,2023-11-04,2023-12-10,17457.45,11095.62,3,Bronze,1254323,11201,43
17,Fall Deal 2023,Radio,Planned,2023-10-27,2024-01-03,76982.24,67462.04,4,Bronze,611864,20694,3958
18,Summer Sale 2024,PPC,Completed,2025-08-20,2025-10-26,149815.83,139399.08,9,Gold,1625820,53516,3687
19,Winter Launch 2024,Radio,Planned,2024-07-17,2024-09-14,16309.11,10783.83,3,Gold,1556167,68238,3087
20,Winter Sale 2022,Radio,Completed,2025-12-04,2026-01-24,88889.27,67132.71,2,Bronze,1264579,68325,3317
21,Mega Launch 2024,Radio,Cancelled,2025-04-21,2025-04-30,56234.3,36451.08,7,Bronze,1395151,2104,4810
22,Fall Discount 2022,Influencer,Planned,2024-10-11,2024-12-29,10767.19,11698.37,1,Platinum,1810641,45113,3090
23,Summer Event 2025,Banner Ad,Cancelled,2023-08-20,2023-09-13,22165.01,8908.32,7,Bronze,1158907,77776,297
24,Winter Deal 2022,PPC,Paused,2024-08-04,2024-09-26,24519.7,10850.8,2,Bronze,1236488,8617,3651
25,Holiday Launch 2023,Radio,Paused,2023-08-03,2023-10-02,60492.38,37037.59,4,All,70158,5694,184
26,Summer Launch 2025,Influencer,Cancelled,2026-03-02,2026-05-18,19687.05,12355.28,6,All,1687027,22031,3996
27,Spring Event 2024,PPC,Cancelled,2024-01-03,2024-03-06,90526.5,41632.89,3,Gold,218769,52478,3445
28,Summer Deal 2024,Social Media,Completed,2025-08-28,2025-11-14,48143.28,16608.88,5,Silver,32165,74521,1109
29,Mega Launch 2024,Banner Ad,Active,2024-07-11,2024-08-30,49863.51,45585.48,9,Silver,1434196,47088,4078
30,Flash Launch 2025,Affiliate,Completed,2025-12-05,2026-02-10,106452.99,114972.49,6,Silver,408774,38336,4139
31,Winter Discount 2025,Social Media,Active,2024-08-19,2024-11-13,15751.26,14967.39,8,Silver,302692,8383,4186
32,Winter Sale 2025,Radio,Active,2025-06-15,2025-08-13,26658.24,24702.85,1,Silver,1782519,79769,2643
33,Winter Discount 2025,Influencer,Paused,2023-12-24,2024-02-20,7369.52,8080.86,9,Platinum,1856596,27973,1018
34,Spring Discount 2022,Affiliate,Completed,2025-01-08,2025-01-21,54254.67,57714.62,7,Platinum,1557568,23052,4129
35,Summer Launch 2024,Radio,Completed,2025-11-25,2025-12-31,59292.87,47634.14,6,Gold,1665000,29719,2255
36,Summer Event 2024,Social Media,Planned,2025-07-16,2025-10-13,107784.07,60427.58,1,All,1215953,43628,3959
37,Mega Launch 2023,Radio,Active,2024-05-23,2024-06-30,92049.44,57125.86,3,Silver,127984,32422,4816
38,Flash Promo 2025,Banner Ad,Active,2023-07-14,2023-09-04,60293.12,42499.18,7,Silver,1771035,14993,1576
39,Spring Discount 2023,PPC,Completed,2025-03-08,2025-05-23,63586.95,47944.2,4,Silver,1862123,5833,262
40,Mega Promo 2023,PPC,Planned,2026-01-20,2026-02-13,86170.75,47110.48,4,Silver,1917890,36338,2910
41,VIP Launch 2022,TV,Paused,2025-12-21,2026-02-22,140383.25,120892.13,4,Bronze,602933,52691,3663
42,Fall Launch 2024,Radio,Paused,2023-08-25,2023-10-26,128283.97,43826.64,1,Silver,1939779,23674,2373
43,Fall Event 2023,Affiliate,Active,2025-07-17,2025-07-25,83407.26,60784.81,3,Gold,853576,25719,1601
44,Holiday Sale 2023,Influencer,Planned,2024-06-07,2024-08-19,40727.98,26381.88,3,Gold,245867,22028,1367
45,Flash Event 2024,Affiliate,Planned,2026-02-20,2026-04-08,145352.6,118846.19,2,All,739601,14428,3370
46,Mega Promo 2025,Radio,Cancelled,2026-04-30,2026-05-20,22307.1,16220.46,2,All,273486,75311,4096
47,Winter Promo 2023,Radio,Paused,2025-06-30,2025-09-10,124810.94,135329.95,8,All,1553485,68455,1947
48,Mega Event 2022,Influencer,Planned,2025-09-21,2025-11-18,147882.58,139504.53,3,Platinum,1452197,56205,3407
49,Flash Discount 2023,Affiliate,Completed,2026-06-07,2026-06-27,111057.27,77937.21,5,Silver,715683,1195,3672
50,Spring Discount 2022,TV,Completed,2026-02-03,2026-05-04,101089.06,106858.07,1,All,76806,76220,4124
51,Holiday Launch 2024,Banner Ad,Active,2025-01-15,2025-03-11,42678.19,32409.95,3,Bronze,668986,67716,3692
52,Fall Event 2022,TV,Planned,2023-08-01,2023-10-16,132793.17,58314.77,5,Gold,1389714,25356,709
53,Summer Deal 2023,Email,Planned,2023-11-13,2023-12-23,79644.34,44820.01,5,All,116863,13431,3363
54,Mega Promo 2022,Affiliate,Paused,2024-05-18,2024-07-02,105871.42,58655.87,3,Bronze,703974,7320,1945
55,Mega Launch 2025,Banner Ad,Completed,2023-12-17,2024-03-09,145955.55,136150.52,7,Bronze,23584,41587,4501
56,Holiday Launch 2022,TV,Paused,2023-09-15,2023-11-04,33824.83,25962.42,9,Bronze,1200545,15524,3324
57,Fall Deal 2024,Affiliate,Planned,2024-10-07,2024-11-08,115785.26,57394.28,8,Silver,1349586,61359,173
58,Holiday Discount 2023,Social Media,Planned,2024-10-03,2024-12-22,85630.18,62177.75,2,Gold,1237639,9528,2379
59,VIP Event 2023,PPC,Planned,2024-03-24,2024-05-20,102283.26,47801.57,7,Gold,1680334,18173,2980
60,VIP Promo 2022,PPC,Paused,2025-11-24,2026-02-02,132259.54,98701.8,7,All,1243522,20791,255
61,VIP Promo 2024,Influencer,Planned,2025-11-04,2026-01-14,34626.38,26067.37,3,Gold,853053,19915,4722
62,Flash Launch 2023,TV,Planned,2024-02-01,2024-02-13,142795.48,56948.15,2,Bronze,1652031,21945,4678
63,Fall Discount 2023,Influencer,Planned,2024-12-01,2025-01-06,31697.49,16513.22,5,Platinum,1234731,22296,4101
64,Flash Discount 2022,Influencer,Cancelled,2023-07-19,2023-08-30,146996.17,148873.16,9,Platinum,1597141,3258,1345
65,Mega Launch 2022,Affiliate,Active,2023-11-16,2023-12-13,22788.92,18229.12,2,Silver,1840898,30787,4926
66,VIP Deal 2024,Radio,Active,2024-07-05,2024-08-13,3678.22,2579.97,1,Bronze,1809645,10415,3204
67,Flash Launch 2024,Banner Ad,Active,2024-11-11,2025-02-06,127445.21,53100.87,3,Gold,88326,66489,3924
68,Summer Launch 2025,TV,Paused,2023-06-20,2023-09-15,103474.27,64467.16,7,All,1295767,79796,4099
69,Winter Deal 2022,Radio,Cancelled,2024-11-09,2024-12-03,87462.71,88104.04,3,All,1065713,12617,1011
70,Mega Discount 2025,Radio,Completed,2024-09-01,2024-10-11,114659.58,108806.02,9,Gold,857891,36458,560
71,Flash Promo 2022,PPC,Active,2026-03-22,2026-06-11,54668.19,16618.96,7,Platinum,209797,12807,3506
72,Mega Promo 2025,Affiliate,Completed,2025-07-25,2025-08-31,140947.28,91945.99,8,Silver,1214948,55472,2871
